85353,"Bulgaria: Supreme Court shuts down smartphone car service Uber ","127578,128226,128319,132779,132972,132999,133835,133855,134229,134251,134460,134461,134847,134958,134963,134964"
79519,"Slovakia: Obligation to consider alternatives to collective dismissals","107952,114574,117182,119367,120122,120621,122622",05:02:10
79522,"Romania: Working time flexibility","107955,117616,119218,120537,120600,122820,123476",05:02:17
79527,"Romania: Employers obligation to provide skill development plans or training","107960,117618,119212,123491",05:02:23
79528,"Romania: Employees obligation to undertake training","107961,117617,119213,123490",05:02:26
79542,"Malta: Working time flexibility","107975,114441,114443,116387,116388,117270,119193,119194,121259,121282,121886,121930,121947",05:02:29
79567,"Greece: Staff information and consultation on business transfers","108000,127015,127033,127034,128117,128742,129537,132306,132500,132985",05:02:40
79569,"Greece: Obligation to consider alternatives to collective dismissals","108002,121367,121951,126880,126884,128094,128112,128752,132337,132478,133671,133704,133712,135907,157103",05:02:51
79619,"Portugal: Working time flexibility","108052,123566,126078,127948,128694,128697,129562,129703,133460",05:03:09
79654,"Romania: Wage guarantee in case of insolvency","108087,117622,119182,120543,120544,120584,120639,121274,122827,123475,123628",05:03:16
79669,"Belgium: Selection of employees for (collective) dismissals","108102,115006,117501,118265,118395,118466,123715,123716,124528",05:03:25
79693,"Czech Republic: Wage guarantee in case of insolvency","108126,108443,108549,116265,118050,118405,118489,118556,118692,119157,149021",05:03:33
79695,"France: Time off for job search","108128,120295,120296,121946,124563,124811,125059,128773,128929,129685,132275,133296",05:03:43
79721,"Spain: Selection of employees for (collective) dismissals","108154,117962,121988,122056,122582,124470",05:03:52
79824,"Italy: Wage guarantee in case of insolvency","108257,118388,119437,119551,119556,119560,120574,121857,121858",05:03:57
79845,"Austria: Wage guarantee in case of insolvency","108278,108461,112324,112329,116504,116505,116675,116679,116680,119072,119539",05:04:05
79884,"France: Employers obligation to support redundant employees","108421,120533,121798,121801,124595,124807,125045,133335,150645,151858,151859",05:04:15
79896,Evaluation,"108534,108538,108551,108552,108558,108559,108560,135888,135891,135893,135896,135898",05:04:26
79939,"Recent development in the distribution of wages in Europe","108755,108793",05:04:30
82308,"Wage Guarantee Fund (CIGO/CIGS/CIGD)","111295,122939,140605,144678,145194,145209,145215,145216,145983,146347,148715,149365,149512,149933,149945,149952,149960,150060",05:04:30
82314,"Occupation Information System","111301,140622,141261,144686,145146,145490,145618",05:05:05
82319,"Human Resources (HR) Planning","111306,111901,122537,133559,141271,144207,147469,147471,148452",05:05:13
82323,"Partial activity","111310,122917,133526,133527,141274,146672,148458",05:05:29
82324,"Public Investment Bank","111311,141567,146693,147586,148894,148895,149291,150046,150648",05:05:40
82325,"Poles of competitiveness","111312,125898,141566,146739,147618,148464,149382,149695,149699",05:05:52
82326,"Prospective observatories on jobs and qualifications","111313,111903,141565,144201,144202,144203,146784,148357",05:06:05
82327,"Regional observatories on jobs and training ","111314,141564,146670,147589,148756,149376,150044",05:06:16
82328,"Re-employment units ","111315,122916,141563,144204,144205,146781,147624,148522,149074,149287,150071,150687,151607,151883",05:06:25
82329,"Professional security contract","111316,122915,137746,147393,147631,148183,148484,149379,150059",05:06:49
82332,"Short-time working support","111319,122900,127276,141562,144913,146729",05:07:03
82333,"Temporary unemployment support  ","111320,122901,126922,141561,144389,144415,146390",05:07:14
82334,"Partial unemployment ","111321,119162,122905,141560,145210,145667,147983,148260,148801,148802,148824,149025,149026,149028,149324,149360,149362,149364,149474",05:07:25
82335,"Short-time working allowance","111322,121080,122921,141559,144120,145614,146758,147140,147696,147705",05:07:51
82336,Work-sharing,"111323,122910,141558,145065,145070,145072,149326,149554,149775",05:08:10
82337,"Temporary layoff plan","111324,123098,127200,141571,145212,145337,145383,145393,145707,146076,147538,147539,148787,151912,152425,153380,153381,153382",05:08:22
82338,"Partial unemployment","111325,122948,141572,144162,144358,145198,146923",05:08:53
82340,"Temporary layoffs ","111327,123088,127894,141573,145470,146518,146526,146531,148737,148876",05:09:06
82341,"Partial unemployment benefit","111328,123092,133457,138447,146242,147356,147386,147789,150108,150129,150166,150177",05:09:22
82342,"Public support for companies' annual vocational training programmes...","111329,141585,144445,144446,144447,145471,145472,145473,146674,146766,146768,146770,147712,147714,148106,148107,148108,148670,148730,148731,149019",05:09:39
82343,"Rapid Response Service (RRS) ","111330,123101,141584,146172,146185,146198",05:10:16
82344,"SMART: SCOTLAND","111331,141583,146176,148416",05:10:25
82345,"Union Learning Fund (ULF) ","111332,141582,146168,146184,147404,147726,147822,148117,148384,148385,148423",05:10:31
82346,"Training and retraining for workers threatened by redundancies/Moni...","111333,123089,123746,141581,144476,144484,144489,144541",05:10:51
82348,"Czech Future Skills","111335,141580,145223,145224,146740,148006,148008,148009,148263,148838,148850,148873,148889,148892,148904,148926",05:11:04
82349,"SARIO (Slovak Investments and Trade Development Agency)","111336,141579,144392,146214,146215,146623,147105,148792",05:11:48
82351,"Skills Development Scotland (SDS) Individual Learning Accounts (ILAs)","111338,141578,146179,148363",05:12:01
82352,"Business trends survey (including employment forecasts)","111339,141577,144901,145395,145397,145434,147391,147559,147864,148114,148533,148705,148706",05:12:06
82353,"Labour market forecasting","111340,141576,144902,145422,145432,145433,147560,147561,147873,148115,148525",05:12:24
82355,"Active labour market policy measures (ALMPM)","111342,122945,141575,144903,145420,145421,147563,147564,147565,147566,147567,147886,147887,148121,148325,148513,148515,148699",05:12:36
82357,"Short Term Labour Market Forecast","111344,141586,145556,147121,147294,148105,148307,148666,148891,150099,150116,152078",05:13:05
82358,"Labour Utilisation Survey ","111345,141540,144196,145468,147122,147123,147289,148310,148664,148668,148890,149461,149477",05:13:21
82359,"Micro enterprise and SME support programme","111346,122928,141539,145554,148194,148300,148671",05:13:37
82362,"Ad hoc cooperation agreement","111349,122923,141538,145522,148201,148296,148679,148839",05:13:46
82363,"Continuous vocational training","111350,122926,141537,145519,148205,148289,148680,148684,148761,148988,148989,149480",05:13:58
82365,"Territorial Employment Pacts ","111352,141535,145480,148112,148131,148306,148683,148763,148822,149460,149478",05:14:19
82366,"Statutory implementation of risk management system ","111353,141534,145597,146741,146851,147127,147139,147509",05:14:39
82367,"Recognition of Prior Learning (RPL)","111354,111904,133892,145558,146227,149658,149672,149721,149749,149830",05:14:50
82368,"Sectoral training and development funds","111355,141533,145514,146241",05:15:05
82369,"Mobility Centres","111356,123085,141532,145565,146231,146259,146571,148038,149066",05:15:12
82372,"Suspended employment","111359,122902,141527,144807,144808,146045",05:15:27
82374,"Various observatories for analysing employment trends","111361,141528,145100,145101,149370,149549,149779",05:15:36
82375,"Regional growth fora","111362,141530,145120,145509,149322,149547,149649,149650,149664,149715,149762,150821",05:15:46
82376,"Job rotation","111363,141543,145109,145110,145510,149375,149566,149568,149771,149797,150011,150729",05:16:08
82377,"The Innovation Fund","111364,141531,145122,145124,145505,145506,145592,149502,149623,149624,149768",05:16:28
82378,"Warning pool ","111365,122909,141529,144113,145023,145024,145523,149633,149737,149757,149772,149773,149796,150006",05:16:40
82380,"IDA Ireland","111367,141541,145627,146072,147083,147084",05:17:01
82382,"Job security councils ","111369,123099,141542,146349",05:17:09
82386,"The Public Employment Service's forcast ('the occupational compass')","111373,141554",05:17:14
82389,"Accrediting Prior Experiential Learning (APEL)","111376,111905,141556,146374,148803,148806,149181",05:17:17
82390,"Annual forecast of the labour force demand by Ministry of Economic ...","111377,141557,144076,146376,148804,148807,149180",05:17:26
82392,"Response service to collective redundancies","111379,122914,125366,141551,146378",05:17:35
82393,"Labour market studies ","111380,141550,144840,144851,144852,146065,148748",05:17:43
82394,"Career consultations","111381,141549,144839,146265,148754,149307",05:17:54
82399,"Clusters programme (Luxembourg Cluster Initiative)","111386,141150,141260,144750,146955,147213,148162",05:18:03
82400,"Luxembourg for Business","111387,141547,144166,145201,146953,147214,148159",05:18:15
82401,"Competitiveness Observatory ","111388,141546,144735,145238,147184,148171",05:18:24
82402,"The skills of tomorrow","111389,141545",05:18:33
82403,"Observatory of continuous vocational training","111390,141544,144352,145236,145237,145241",05:18:35
82408,"Accreditation of prior and experiential learning ","111395,111906,141512,144380",05:18:43
82415,"'Change Security' model","111402,141508,144187,145086,145087,145593,146306,146308",05:18:48
82417,"The Vocational Adult Education Act (631/1998)","111404,111909,122573,141507,144133,144135,144172,144976,144981,144995,145589,146312",05:19:01
82418,"Recognition, Validation and Certification of Competences System (RV...","111405,111910,141506,145808,146258,147362,147384,147793,150106,150132",05:19:18
82420,"Monthly surveys of employers","111407,141505,144505,145293,145294,145954,145955,145956,146421,146423,146424,146879,147929,148082,148083,148380,148388",05:19:31
82428,"Higher Vocational Education","111415,139654,141263,148239,149168,150449,151064",05:19:52
82432,"Device for the assessment and recognition of competence ","111419,111913,117046,141502,145342,146083",05:20:01
82434,"National Catalogue for Qualifications ","111421,111914,141513,145130,146235,147365,147857",05:20:08
82436,"Information and Management System of the Education and Training Offer ","111423,141514,145801,146211,147304,147348,147382,147808,150061,150141",05:20:17
82441,"Act governing the rescue and restructuring aid for companies in dif...","111428,141525,146279,146298,147299,148192,148576,148927,149229",05:20:30
82443,"Work foundation (outplacement)","111430,141524",05:20:41
82444,"Employers' groupings ","111431,135906,145452,146748,146753,147144,147707,147708,147710",05:20:46
82445,"Transitional employment agency or transitional company","111432,141523,145616,145631,146757,147141",05:21:02
82448,"Builders’ Social House","111435,141521,144198,144199,144449,144451,145449,145450,146604,146605,147722,147724,148095,148096,148672,148720",05:21:14
82449,"Reconversion cells ","111436,128464,141520,144155,144428,146395,146849,148601,148608,148698",05:21:37
82450,"Social intervention fund","111437,141519,145602,146397,147948,148616,148836,149188,149203",05:21:58
82453,"Industrial parks and Industrial zones","111440,141517,144408,146221,146446,147103,148791,149993,150441",05:22:12
82455,"Temporary suspension of employment and reemployment commitments","111442,141516,144915,145874",05:22:31
82459,"Restructuring card ","111446,141484",05:22:36
82460,"Employer groups","111447,135961,144897,146552,146553,146569,147590,147592,148473,148965,149289,150025,150026,150679,151501",05:22:38
82461,"Micro-credit Guarantee Fund","111448,141485,146907",05:23:08
82462,"Vocational training paritarian institutions","111449,141483,144688,145132,148712,148742,148967",05:23:12
82463,"Sector Skills Councils","111450,141482,144378",05:23:24
82467,"Union learning representatives (ULRs)","111454,141481,144241,146186",05:23:29
82468,"Labour consultant","111455,141480,146366",05:23:35
82469,"Work council expert (labour consultant)","111456,141479,146669,147576,147578,148174,148767,148768,149292",05:23:39
82472,Flexpool,"111459,141478,145578,146236,148163,148172,148231,149257,149294,149648,149675,149750",05:23:54
82473,"Employer group","111460,120849,135914,144388,144936,145594,146801,147970,148818,148823,148827,148828,148844,148923,148925,148929,148934,148941,148943,148947,148993,149080,153418",05:24:11
82475,"Better West Midlands project","140625,144260,146196,147401,147732,148404",05:24:55
82477,"Competence Development Funds","111464,141473,145154,145157,145507,149433,149524,149608,149626,149627",05:25:04
82478,Skillnets,"111465,141474,144409,145632,145633,146068,147078,147258,147259",05:25:17
82479,"Training fund in enterprises","111466,141475,144477,144485,144490,144491,144540,145993,146014,148126,148152,148975",05:25:31
82480,"Paid training leave ","111467,141476,144478,144483,144492,144539,145994,146017,148125,148147,148983,149093,149246",05:25:53
82482,"Measures for employed people at risk of unemployment","111469,141486,144843,146209,148760,149306",05:26:13
82483,"Mini labour exchange","111470,141487,144890,145439,145440,147568,147899,148119,148524,148713",05:26:20
82484,"Implacement work foundation","111471,141488,144916,145861",05:26:35
82486,"Medium-term employment forecast for Austria and its provinces","111473,141497,144928,145878",05:26:42
82487,"Qualification barometer","111474,141498",05:26:47
82488,"Forecasts of the Austrian labour market","111475,141499",05:26:49
82489,"The right of employers to reduce salary and working time ","111476,118151,122574,141500,146379",05:26:52
82491,"Short-time working/work-sharing and Annual working time account","111478,122643,141501,144405,144406,146225",05:26:58
82492,"i2 - Business Angels","111479,116449,141496,145050,145793",05:27:08
82494,"Succession bourse ","111481,141494,145053",05:27:13
82495,"Association of Austrian Technology Centres (AATC)","111482,139766,145179,146047",05:27:17
82498,"Collective Research Centres - patents unit","111485,141493,145609,146791",05:27:23
82503,"IWT - Innovation network","111490,141491,145612,146800,147977,148572",05:27:28
82504,"Mentoring projects ","111491,141490,145606,145607",05:27:36
82505,PLATO,"111492,141489,145613,146834,146835",05:27:42
82508,"Industrial researchers ","111495,141460,144297,144921,144923,144924,144925,144926,144927,144929,144932,144933,144935,144938,144941,144950,145579,149602,149655,149713,149722,149743,149751,149753,149756",05:27:47
82509,"Innovation incubators","111496,141459,144307,144962,144964,144967,145535,145536,149662,149726",05:28:23
82513,"Enterprise Finland","111500,141458,144124,144251,144327,144959,145585,146316",05:28:37
82519,"Business Angels","111506,122576,125357,141457,145620",05:28:51
82521,"Online database of public aids","111508,141456",05:28:58
82525,"Enterprise Ireland Mentor Network","111512,141455,144413,145636,146058,147097",05:29:00
82527,"Business Angels","111514,122575,141454,144742,145213,146929",05:29:08
82530,"SIVA (The Industrial Development Corporation of Norway) ","111517,141453,145460,145461,145464,146522,146570,146577,148723,148879,149463",05:29:16
82531,"Business Angels","111518,122577,125356,141452,145376,145380,145385,145386,145387,145389,145390,145391,145709,145711,146073,147541,147542,147543,148786,151913,152426",05:29:33
82539,"Successors bourse","111526,116720,125368,125369,141461,144736,144737,144740,144741,145214,147197,148865",05:30:03
82540,EUREKA,"111527,143385,143386,143387,143388,143389,143390,143734,143857,144508,145379,145381,145905,145911,145920,145928,146403,146404,146405,146435,146878,146933,147937,147938,148089,148090,148129,148142,148366,148372,148392",05:30:18
82545,"Team Finland - Services supporting the internationalisation of busi...","111532,141472,144077,144082,144125,144247,145098",05:30:56
82546,"Centres of Entrepreneurial and Technological Development (CETE.DE n...","111533,141471,147433,147530,148440,148530,148531",05:31:07
82547,"BusinessInfo.cz – web portal for Czech businesses","111534,141470,145246,145248,146916,148022,148023,148177",05:31:17
82548,"Short-term Export Credit Insurance Scheme ","111535,141469,147434,147528,148441,148442",05:31:31
82550,"First Flight Programme","111537,141463,144412,146125,146330,146852",05:31:39
82553,"BNOA - national exchange for craft opportunities","111540,125367,141467,146647,146649,147594,148179,148511,149665,149666,149703",05:31:47
82554,"Enterprise exchange","111541,141466,145539,146219,148168,148169,148574,149638",05:32:01
82556,"Successor bourse ","111543,141465,146336,146845,146847",05:32:10
82557,"SOWACCESS (Walloon company of merger/acquisition and closure/bankru...","111544,141464,144218,146386,146850,147950",05:32:17
82558,Transenterprises,"111545,141437,147463,147595,148180,148534,149378,150032",05:32:25
82562,"Adult Education Allowance","111549,141436,144150,144170,145011,145013,145126,146320,146321",05:32:37
82572,"Company employment pacts","111559,111885,141434,144127,144128,145624",05:32:48
82573,"Opening clauses","111560,111886,141433,145625,145628,146462,147326,147485",05:32:57
82574,"Temporary layoff","111561,121959,141432,144154,144185,144186,145061,145062",05:33:09
82575,"Education plan ","111562,141431,145044,145513,149663,149669,149670,149671,149720",05:33:20
82577,"Seed Capital Scheme","111564,141430,144424,146126,146337,146853,146975",05:33:32
82579,"Statutory Guarantee Pay","111566,124070,141429,144246,146187,147400,147733,148405",05:33:41
82581,"Redundancy Action Scheme (ReAct II)","111568,141428,144244,144367,146188,148411,148417",05:33:51
82586,"CzechInvest – Investment and Business Development Agency","111573,141439,145282,145283,146968,147124,148030,148031,148181,148182,148874,148907,148911",05:34:02
82592,"Innovation Norway","111579,141449,145448,145456,146523,146640",05:34:23
82593,"The Research Council of Norway (RCN) ","111580,141448,145415,146524,146652",05:34:33
82594,"Altinn (Start and run business)","111581,141447,144208,144209,145398,145401,146525,146654",05:34:39
82596,"Export Credit Norway","111583,141446,144210,145388,146527",05:34:50
82597,GIEK,"111584,141445,144258,145339,145345,145346,145375,146532,146557,146558,146559",05:34:56
82598,"Norwegian Innovation Clusters","111585,141444,144264,144301,144309,145319,145323,145326,145327,146547,146624",05:35:09
82607,"Labour market training ","111594,141441,146325",05:35:25
82608,"ALMI Företagspartner business enterprise","111596,141412,146334,149166,149318,149868,149882,150064",05:35:30
82610,"Support for starting a business","111598,141411,146322",05:35:43
82611,"Consulting on business turnaround","111599,141410,145538,145716,146457,147328",05:35:47
82612,"Regional monitoring of structural developments","111600,141409,145617,145630,146460",05:35:57
82613,"Regional labour market monitor","111601,141408,145564",05:36:05
82614,"Working time accounts","111602,141407,145595",05:36:09
82617,"Joint task for the improvement of the regional economic structure","111605,141405,145457,145681,146455,147329,147701,147702,148013,148020",05:36:14
82618,"Central Innovation Programme SME","111606,141404,145601,145712,146454,147333",05:36:31
82619,"Nexxt-change (Exchange mechanism for people interested in business ...","111607,141403,144122,145622,147508,147717",05:36:41
82621,"Local Development Agency - Barcelona Activa","111609,139761,145230,145384,145528,145706,146077,147544,148782,148863",05:36:50
82623,"Strategic plans","111611,141402,145459,145723,145724,146071,148123,148124,148784",05:37:07
82625,"Commissioner to productive recovery","111613,141401,147464,147583,148900,149290,150029",05:37:19
82626,"House for Business Creation and Transfer","111614,141413,147461,147596,148727,149293,150033",05:37:28
82630,"Fund for the protection of employees' rights in case of employer in...","111618,122342,141415,144821,146038,147037,147419,147963",05:37:39
82632,"Employment mediation service by Unemployment Insurance Fund","111620,141423,146380",05:37:51
82633,"Regional labour market information","111621,141424,145571,146223,148164,149637,149673",05:37:56
82634,"SME Academy","111622,141425,144559,145129,146239,147297,147301,147381,147810,149847,150105,150133,152168",05:38:05
82638,"LAEK, Special Fund for the Employment and Vocational Training","111626,141426,147435,147526,148443,148481,148483,148693,149518",05:38:22
82639,"Sectoral training funds (STF)","111627,141427,144070,144074,144075,144429,144431,148691",05:38:35
82642,"Go international!","111630,141422,145054,145794",05:38:46
82645,"Export Window","111633,141421,146270,146501,146948,147293,148191,148578",05:38:51
82648,"Help for the self-employed and business owners in difficulty","111636,141420,144083,146351,146838,146839,148615",05:39:02
82649,"National Innovation Fund (NIF): Strengthen the technological capaci...","111637,141419,144998,145577,145658,146910,146918,148113",05:39:10
82650,"Cyprus Investment Promotion Agency","111638,141418,144799,146052,147051,147416,147958",05:39:20
82652,"Regional Business Development Centres","111640,141417,145085,145089,145092,145093,149346,149369,149585,149601,149642,149653,149764",05:39:28
82653,"Guide to growth","111641,141416,145103,145104,145511,149325,149572,149644,149654,149770",05:39:45
82656,"Innovation voucher programme","111644,141400,144430,147099,147263,147310",05:39:58
82657,"Innovation club in the craft sector","111645,141399,144744,145217,146951",05:40:06
82658,"Transfer loan","111646,141378,144747,145220,146936",05:40:12
82659,"Norwegian Industrial Research and Development Contracts (IRD)","111647,141377,144400,145296,145301,146555,146612,146614,146615,146618,146657,148654,148739",05:40:18
82660,"Grant scheme to support businesses’ internationalisation via produc...","111648,141379,144544,145856,146016,148144,148149,148981",05:40:36
82661,"Company helpline","111649,141376,146358,150451,151063",05:40:44
82664,"Passport to Export","111652,141375,144248,146190,147399,148415",05:40:52
82669,"Pre-redundancy counselling services - Law no. 76/2002 on unemployme...","111657,141373,144188,144441,145466,145467,146508,147816,147817,148102,148103,148667,148724,149015",05:41:00
82670,"Consultancy and assistance for grassroots entrepreneurial or busine...","111658,141372,144197,144442,145458,145462,145463,146510,146590,146594,147746,147747,147748,147749,148100,148101,148669,148721,149007,149337",05:41:17
82673,impulse.brussels,"111661,141371,146328,146813,147962",05:41:46
82674,"Interprofessional centres preventing risks faced by entreprises","111662,141369,144091,146339",05:41:51
82675,"Inter-regional cooperation agreement","111663,141368,144095,146355,146836",05:41:58
82676,"Conciliation office/Verzoeningsbureau","111664,141367,144129,146356,146789",05:42:06
82679,"National Labour Exchange","111667,141370,144684",05:42:11
82681,"Rapid reports ","111669,141364,146272,146500,146949,147292",05:42:15
82682,"Publications of the Institute of Macroeconomic Analysis and Develop...","111670,141363,146283,146426,146958,147284",05:42:23
82683,"Publications of the Employment Service of Slovenia","111671,141365,146273,146430,146950",05:42:31
82684,"Grant for the development of knowledge and skills in companies","111672,141380,146381,148805",05:42:36
82685,"Internationalisation activities of Enterprise Estonia (reputation o...","111673,141381,144071,146383,150438,150439,150440,150495",05:42:42
82686,"Entrepreneurship related measures by the Credit and Export Guarante...","111674,141398,146384,148808,149179",05:42:51
82688,"Development grant by Enterprise Estonia","111676,141397",05:42:57
82690,"In-house training (BIO)","111678,141395,144398,145297,145299,146560,146609,146610,148734,148878",05:43:00
82691,"Provision of training","111679,141394,144479,144494,144537,146001",05:43:15
82692,"Special programmes","111680,141393,144499,144500,144501,144535,146004,146013,148130,148154,148852",05:43:23
82693,"Programme for supporting investments of major importance to the Pol...","111681,141392,144482,144493,144538,145999,146015,148138,148150",05:43:41
82694,"Special economic zones (SEZ)","111682,141391,144486,144543,145863",05:43:52
82698,"Wage Guarantee Fund ","111686,141390,145515,148189,148193,148303,148674,148675,148887,149459,149479,149761",05:44:00
82699,"Guarantee Fund ","111687,141389,144904,144905,145408,145411,145574,145575,147569,147570,147571,147904,147905,148137,148326,148521,148597,148697,148885",05:44:19
82700,"Guarantee Fund ","111688,122637,141388",05:44:49
82701,"Investment aid for craft or trade SMEs","111689,141387,144746,146954",05:44:52
82703,"Employment continuation – subsidising employment with another employer","111691,141386,146037,148489,148566,148659,148747",05:44:57
82704,"Non-working Friday – support for preserving jobs","111692,123309,141385,148500,148558",05:45:05
82705,"Mobile teams of the Croatian employment service","111693,125365,141384,148502,148556,148660,148746",05:45:13
82706,"Tax incentives for technology investment","111694,141383,146034,148491,148560,148661,148735,148796,148899,149137",05:45:23
82707,"Subsidy for justifiable costs of creating new jobs related to inves...","111695,141382,146036,148487,148569,148662,148732",05:45:37
82708,"Funding justifiable costs of vocational training","111696,141345,146030,148503,148555,148663,148725,148797,148897,149139",05:45:47
82709,"Business advice for employers","111697,141344,146028,148507,148553,148798,148896",05:45:59
82714,"Department of Labour Relations","111702,141358,144802,144803",05:46:08
82719,"Flexible working time","111707,122579,123091,138452,144556,145827,146256,147290,147380,147813,148042,152789",05:46:13
82722,"Start-up promotion law","111710,141341,145180,146060",05:46:25
82723,"Encouraging micro enterprise employers to hire unemployed","111711,141340,145000,146145,146859,146862,147923,148050,148255",05:46:30
82724,"Support to labour market education and preparation for employees ","111712,141339,144403",05:46:43
82728,Sikoflex,"111716,141338,145559,147713,147998",05:46:47
82729,"Temporary reduction of activity","111717,122821,141337,144072,145475,145476,146506,147818,147826,147832,147833,148093,148094,148665,148733,148997,149077,149347,149348,149702,149708",05:46:54
82730,"IMK Economic Performance Indicator","111718,141336,145454,145700,146449,146738,147148",05:47:22
82731,"COIN Cooperation Innovation","111719,141335",05:47:30
82732,"Innovation Voucher","111720,141334",05:47:32
82735,"Subregional structures","111723,141347,144134,146359,146790,148014",05:47:34
82736,"IAB-Establishment Panel","111724,141361",05:47:43
82739,"The Moravian-Silesian Employment Pact (MSEP)","111727,141357,144393,145167,145168,145197,145199,145200,146969,147009,147059,148550,148554,148860,148918,148919,148932",05:47:45
82743,"Plato Ireland ","111731,141362,144433,146135,147247,147265,147311",05:48:20
82745,"Insolvency Income Fund","111733,120380,141356,145174,146062,146691",05:48:30
82746,"Insolvency Service","111734,124054,141355,144253,146193,147397,147739,148409,148418,148420",05:48:39
82747,"Töötuskindlustuse seadus","111735,118108,141354,144073,146391",05:48:53
82748,"Pay Security Act (866/1998)","111736,121962,141353,144158,144180,144231,145066,145069,145118,146324,148696,148854,149079",05:49:00
82749,"Wage Guarantee Fund in the Event of Employer Insolvency","111737,141352,144710,145127,146394,146434,148649,148711,148758,149040",05:49:19
82750,"Different conditions of employment in exceptional circumstances","111738,121932,122584,141351,144507,145295,145333,145334,145957,146414,146415,146416,146938,147811,147828,147910,147918,148067,148070,148383",05:49:30
82751,"Wage guarantee fund","111739,121939,141350,144506,145335,145336,145958,146408,147933,148087,148088,148373,148389",05:49:57
82752,"Allocated cumulative working time","111740,122585,122924,141348,145474,148186,148188,148304,148676,148847,149760",05:50:14
82753,"Pay guarantee regulation/Unemployment Insurance Act","111741,133890,141269,145532,146238,148161,148224,148961",05:50:28
82754,"Employment fund ","135955,136124,141265,144753,145232,146956,147217,148143",05:50:37
82756,"Wage guarantee fund","111744,133549,141272,146742,148465",05:50:48
82757,"Agreement to maintain employment","111745,133528,141273,147392,147466,147574,148921,150672,151520",05:50:55
82762,"Business Support and Economic Development Observatory ","111752,141315,147462,147579,147582,148901",05:51:08
82764,"National SME Services Network (KSU)","111754,141313,144487,144488,144542,145870,145912,148132,148156,148843",05:51:16
82766,"Early Warning","111756,141312,144114,144970,144972,144973,144975,144979,145533,149441,149537,149540",05:51:32
82767,"The Growth Fund","111757,141311,144310,144999,145001,145002,145003,145010,145525,145526,149617,149651,149767",05:51:46
82772,"Credit mediation structure","111762,141309,146759",05:52:05
82773,"SMEs Guarantee Fund","111763,141308,144711,145121,146382,146436,148703,148740",05:52:09
82774,"Unit for the Management of Disputes Concerning Enterprises Facing D...","111764,122587,141316,144680,145162,148648,148701,148702,148764",05:52:19
82776,"Go:Global Slovenia ","111766,141317,146274,146428,146957,147288,148190,148585",05:52:29
82777,"Go International Slovenia","111767,125354,141327,146275,146280,146296,146407,147298,149284,149299,149640",05:52:40
82778,"Innovation Fund Ireland","111768,141328,144439,147098,147314,147536",05:52:59
82781,"PACE- Partnership Action for Continuing Employment","111771,141329,144256,146194,147398,147738,148407",05:53:07
82783,"Single-company training programmes aimed at preventing unemployment","111773,141331,144811,144813,144814,146043,147045,147417,147638,147925,147971,148085",05:53:19
82789,"ICEX NEXT","111779,141322,145815,145816,146064,148116,148118,148781,149335,151878",05:53:35
82792,"SME Facility ","111782,141326,145821,145822,146035",05:53:47
82793,"Fund for the internalisation of the company (FIEM)","111783,141129,145844,145846,146029,147266,147267,148788,149333,151056,151879",05:53:53
82795,"IP Financing","111785,141325,145178,145791",05:54:08
82797,"Slovenian Enterprise Fund","111787,122588,141324,146281,146300,147306,148166,148592,148924,149232",05:54:13
82801,"Wage guarantee in case of employer insolvency","111791,126908,141323,144140,144434,144440,146393,148694",05:54:30
82803,"Insolvency Guarantee Fund","111793,127203,141321,145833,145834,146031,149055",05:54:43
82804,"Social Insurance Fund (SIF)","111794,123778,127972,141320,144444,146136,146160,147257",05:54:53
82807,"Succession facilitators","111797,141319,144126,145621,145629,145684,146447,147135,147489",05:55:05
82809,"Wage guarantee in case of insolvency","111799,119158,141283,144259,144289,144293,144566,145164,145567,145569,145570,146681,146683,147974,147975,148249,148859,148872,148882,148884,148893,148903,149022",05:55:19
82810,"Employees' Guarantee Fund ","111800,124077,141290,144437,145028,145029,145530,145531,149606,149731,149759",05:55:52
82811,ManagementWorks,"111801,141292,144457,146137,146161,146353,146854,146974,147245,147260,147308,147427,147557",05:56:08
82812,"Guaranteed Employee Benefits Fund ","111802,123748,123749,123752,141303,144495,144536,146003,146019,148122,148146,148985,149065,149787",05:56:27
82813,"Extension of working time settlement period","111803,122589,141302,144496,144497,144498,144502,144503,144534,146007,146020,148120,148145,148991,149786",05:56:44
82814,"Protection of Employees in Case of Insolvency of the Employer","111804,127220,141304,144845,146074,149053",05:57:03
82815,"Insolvency compensation","111805,141288,145551,147694",05:57:12
82816,"Guarantee fund for debt salaries","111806,122826,141306,145478,145479,148736,149076,149367,149521,149625,149709,150114",05:57:17
82817,"Wage Guarantee Fund","111807,141307,144557,145796,146226,146230,147279,147376,147823,147849,148037,152786",05:57:35
82818,"Temporary reduction of working hours/suspension of employment contr...","111808,133459,138450,144822,145797,146224,147286,147377,147820,149084,149832,150134,152792",05:57:54
82819,"Public Guarantee, Alimony and Disability Fund of the Republic of Sl...","111809,127800,141299,146282,146299,147303",05:58:12
82820,"State guarantee for wages in case of insolvency ","111810,127901,141298,144404,144410,145284,145287,145290,146567,146583,146606",05:58:20
82821,"Wage guarantee in case of insolvency ","111811,133746,141270,147436,147519,148444,148479,148690,149087,149515",05:58:34
82822,"Organisation of working time","111812,122590,136113,141268,147439,147440,147522,147525,148445,148475,148477,148478",05:58:47
